ID,Handle,Command,Body HTML,Tags,Tags Command,Metafield: custom.size_fit_information [string],Metafield: custom.product_collections [string]
4461832306734,cropped-boyfriend-tank-black,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our cropped boyfriend tank features a relaxed loose muscle tank fit. Inspired by vintage men's tanks, this t-shirt is the perfect everyday essential. </p>
<p>Style with your favorite high-rise jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>"
4461832863790,cropped-rib-tank-ivory,MERGE,"
<p>Cut from a lightweight 100% cotton rib fabric, our cropped rib tank features a slim fit with its flattering thin tank straps and vintage-inspired neckline. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer or under a pantsuit. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool dry. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool dry. Do not dry clean.&nbsp;</li></ul>"
4461832994862,cropped-rib-tank-heather-grey,MERGE,"
<p>Cut from a lightweight 100% cotton rib fabric, our cropped ribbed tank features a slim fit with its flattering thin tank straps and vintage-inspired neckline. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer or under a pantsuit. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool dry. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool dry. Do not dry clean.&nbsp;</li></ul>"
4461833224238,long-sleeve-boyfriend-tee-ivory,MERGE,"
<p>Cut from lightweight cotton and modal blend, our long sleeve boyfriend tee features a relaxed loose fit, unfinished raw edge neckline detail along with Éterne's signature extra long sleeves. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton / 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton / 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>"
4461833289774,long-sleeve-boyfriend-tee-heather-grey,MERGE,"
<p>Cut from lightweight cotton and modal blend, our long sleeve boyfriend tee features a relaxed loose fit, unfinished raw edge neckline detail along with Éterne's signature extra long sleeves. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pant as a set. </p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton / 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton / 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4461835059246,long-sleeve-thermal-ivory,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our long sleeve thermal features a slightly slim fit, classic crewneck, and Éterne's signature extra long sleeves. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's <a href=""https://eterne.com/products/thermal-lounge-pant-ivory"">thermal lounge pant</a> as a set.</p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly slim fit</li><li>48% Cotton 48% modal 4% spandex</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly slim fit</li><li>48% Cotton 48% modal 4% spandex</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4462931705902,cropped-long-sleeve-thermal-ivory,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our cropped long sleeve thermal features a slightly slim fit, classic crewneck, and Éterne's signature extra long sleeves. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's <a href=""https://eterne.com/products/thermal-lounge-pant-ivory"">thermal lounge pant</a> as a set. </p>",,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly slim fit&nbsp;</li><li>48% Cotton 48% Modal 4% Spandex</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly slim fit&nbsp;</li><li>48% Cotton 48% Modal 4% Spandex</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4463295954990,the-rib-tank-black,MERGE,"
<p>Cut from a lightweight cotton 100% rib fabric, our ribbed tank features a slim fit with its flattering thin tank straps and vintage-inspired neckline. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer or under a pantsuit. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4463299690542,the-rib-tank-heather-grey,MERGE,"
<p>Cut from a lightweight cotton 100% rib fabric, our ribbed tank features a slim fit with its flattering thin tank straps and vintage-inspired neckline. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer or under a pantsuit. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4463300804654,short-sleeve-baby-ivory,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our short sleeve baby tee features a shrunken slim fit and a thin-lined crewneck. This t-shirt is a perfect everyday essential. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4463303163950,the-short-sleeve-boyfriend-tee-ivory,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our short sleeve boyfriend tee features a relaxed loose fit with an unfinished raw edge neckline detail. This t-shirt is the perfect everyday essential. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4463303589934,the-short-sleeve-boyfriend-tee-g,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our short sleeve boyfriend tee features a relaxed loose fit with an unfinished raw edge neckline detail. This t-shirt is the perfect everyday essential. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4647844741166,short-biker,MERGE,"
<p>Cut from a lightweight modal blend, our seamless short biker features a flattering figure-hugging silhouette with its comfortable second-skin feel. </p>
<p>Pair with Éterne's <a href=""https://eterne.com/collections/bra-underwear/products/triangle-bra-black"">triangle bra</a> as a set. </p>",Bottoms,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a close fit</li><li>89% Modal / 11% Lycra&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Hand wash cold. Do not bleach. Do not tumble dry. Do not iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a close fit</li><li>89% Modal / 11% Lycra&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Hand wash cold. Do not bleach. Do not tumble dry. Do not iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>"
4647858536494,long-biker,MERGE,"
<p>Cut from a lightweight modal blend, our seamless long biker features a flattering figure-hugging silhouette with its comfortable second-skin feel. </p>
<p>Pair with Éterne's bandeau bra as a set. </p>",Bottoms,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a close fit</li><li>89% Modal / 11% Lycra&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Hand wash cold. Do not bleach. Do not tumble dry. Do not iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a close fit</li><li>89% Modal / 11% Lycra&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Hand wash cold. Do not bleach. Do not tumble dry. Do not iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>"
4647880425518,bandeau-bra,MERGE,"
<p>Cut from a lightweight modal blend, our seamless bandeau features a flattering figure-hugging silhouette with its comfortable yet supportive second-skin feel. </p>
<p>Style with your favorite pair of high-rise dress pants or layered under an oversized blazer. </p>","Intimates, Bra",REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a close fit</li><li><span style=""caret-color: rgb(0, 0, 0); color: rgb(0, 0, 0);""><span style=""font-size: 11pt; font-family: Arial; color: rgb(34, 34, 34); font-variant-ligatures: normal; font-variant-east-asian: normal; font-variant-position: normal; vertical-align: baseline; white-space: pre-wrap;"">89% Modal / 11% Lycra</span></span></li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li><span style=""caret-color: rgb(0, 0, 0); color: rgb(0, 0, 0);""><span style=""font-size: 11pt; font-family: Arial; color: rgb(34, 34, 34); font-variant-ligatures: normal; font-variant-east-asian: normal; font-variant-position: normal; vertical-align: baseline; white-space: pre-wrap;"">Hand wash cold. Do not bleach. Do not tumble dry. Do not iron. Do Not Dry Clean.</span></span></li></ul><p><strong>Final Sale</strong></p>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a close fit</li><li><span style=""caret-color: rgb(0, 0, 0); color: rgb(0, 0, 0);""><span style=""font-size: 11pt; font-family: Arial; color: rgb(34, 34, 34); font-variant-ligatures: normal; font-variant-east-asian: normal; font-variant-position: normal; vertical-align: baseline; white-space: pre-wrap;"">89% Modal / 11% Lycra</span></span></li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li><span style=""caret-color: rgb(0, 0, 0); color: rgb(0, 0, 0);""><span style=""font-size: 11pt; font-family: Arial; color: rgb(34, 34, 34); font-variant-ligatures: normal; font-variant-east-asian: normal; font-variant-position: normal; vertical-align: baseline; white-space: pre-wrap;"">Hand wash cold. Do not bleach. Do not tumble dry. Do not iron. Do Not Dry Clean.</span></span></li></ul><p><strong>Final Sale</strong></p>"
4666298499118,scoop-neck-bra-ivory,MERGE,"
<p>Cut from an ultra-lightweight modal blend, our scoop neck bra features a flattering scoop neck, wide straps along with a supportive lift and band. </p>
<p>Pair with Éterne's '<a href=""https://eterne.com/collections/bra-underwear/products/90s-brief-ivory"">90s brief</a> as a set. </p>","Intimates, Bra",REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Lightweight</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Lightweight</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li></ul>"
4670196056110,scoop-neck-bra-black,MERGE,"
<p>Cut from an ultra-lightweight modal blend, our scoop neck bra features a flattering scoop neck, wide straps along with a supportive lift and band. </p>
<p>Pair with Éterne's <a href=""https://eterne.com/collections/bra-underwear/products/90s-brief-black"">'90s brief</a> as a set. </p>","Intimates, Bra",REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>89% Modal / 11% Lycra</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>89% Modal / 11% Lycra</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron.&nbsp;</li></ul>"
4670466097198,triangle-bra-ivory,MERGE,"
<p>Cut from an ultra-soft lightweight modal blend, our tringle bra features a flattering neckline, thin adjustable straps along with a supportive lift and band. </p>
<p>Pair with Éterne's <a href=""https://eterne.com/collections/bra-underwear/products/90s-brief-ivory"">'90s brief</a> as a set. </p>","Intimates, Bra",REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>89% Modal / 11% Lycra&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>89% Modal / 11% Lycra&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron.&nbsp;</li></ul>"
4670468816942,triangle-bra-black,MERGE,"
<p>Cut from an ultra-soft lightweight modal blend, our tringle bra features a flattering neckline, thin adjustable straps along with a supportive lift and band. </p>
<p>Pair with Éterne's <a href=""https://eterne.com/collections/bra-underwear/products/90s-brief-black"">'90s brief</a><a href=""https://eterne.com/collections/bra-underwear/products/90s-brief-ivory""> </a>as a set. </p>","Intimates, Bra",REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>89% Modal / 11% Lycra&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>89% Modal / 11% Lycra&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron.&nbsp;</li></ul>"
